task_id,user_id,task_type,offloaded,edge_id,arrival_time,finish_time,inter_arrival_ms,latency_ms,waiting_ms,proc_ms,tx_delay_ms,transit_ms,channel_rate_mbps,cycles_total,split_ratio,cycles_local,cycles_edge,local_ratio,edge_ratio,finish_time_edge
93,1,Heavy,1,1,10.13,18.03,,7900.0,840.0,670.0,650.0,6390.0,10.0,2000000000.0,0.6667,666666666.6666667,1333333333.3333333,0.3333,0.6667,17.1867
149,4,Heavy,1,0,17.11,18.69,,1580.0,90.0,1000.0,488.0,490.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,17.9656
130,1,Heavy,1,1,13.37,19.03,,5660.0,-230.0,1000.0,888.0,4890.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,18.76
134,2,Heavy,1,1,14.0,19.27,,5270.0,-100.0,1800.0,99.2,3570.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,17.67
142,3,Heavy,1,0,14.47,19.3533,,4883.33,610.0,1333.33,1183.33,2940.0,5.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,17.6322
155,5,Heavy,1,0,17.49,19.59,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,18.0322
150,4,Medium,0,-1,17.11,19.69,,2580.0,0.0,1000.0,0.0,1580.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
124,0,Heavy,1,1,13.15,19.71,,6560.0,-180.0,1800.0,179.2,4940.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,18.19
167,1,Light,0,-1,19.57,19.87,,300.0,0.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
160,0,Light,0,-1,17.94,20.01,,2070.0,1770.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
135,2,Medium,0,-1,14.0,20.27,,6270.0,1800.0,1000.0,0.0,3470.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
143,3,Medium,0,-1,14.47,20.36,,5890.0,0.0,1000.0,0.0,4890.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
174,2,Light,0,-1,19.59,20.57,,980.0,680.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
156,5,Medium,0,-1,17.49,20.59,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
151,4,Heavy,1,0,17.11,20.69,,3580.0,110.0,1000.0,888.0,2470.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,19.9133
196,5,Light,0,-1,20.19,20.89,,700.0,400.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
189,4,Light,0,-1,19.77,20.99,,1220.0,920.0,300.0,0.0,0.0,,300000000.0,0.0,300000000.0,0.0,1.0,0.0,
144,3,Heavy,1,1,14.47,21.36,,6890.0,510.0,1000.0,488.0,5380.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,20.35
182,3,Light,1,0,19.68,21.51,,1830.0,1670.0,150.0,6.0,10.0,10.0,300000000.0,0.5,150000000.0,150000000.0,0.5,0.5,19.9633
168,1,Heavy,1,1,19.57,21.67,,2100.0,-100.0,1800.0,99.2,400.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,20.45
161,0,Heavy,1,0,17.94,21.81,,3870.0,-100.0,1800.0,99.2,2170.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,20.1767
157,5,Heavy,1,0,17.49,22.39,,4900.0,-150.0,1500.0,445.0,3550.0,10.0,2000000000.0,0.25,1500000000.0,500000000.0,0.75,0.25,21.2067
137,2,Heavy,1,0,14.0,22.57,,8570.0,320.0,1000.0,974.0,7250.0,5.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,21.8924
169,1,Medium,0,-1,19.57,22.67,,3100.0,1800.0,1000.0,0.0,300.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
136,2,Heavy,1,0,14.0,21.57,,8686.83,-1480.0,1000.0,1774.0,8050.0,5.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,22.6868
190,4,Heavy,1,0,19.77,22.79,,3020.0,-100.0,1800.0,99.2,1320.0,10.0,2000000000.0,0.1,1800000000.0,200000000.0,0.9,0.1,21.2733
162,0,Medium,0,-1,17.94,22.81,,4870.0,1800.0,1000.0,0.0,2070.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
210,1,Light,1,0,20.93,22.8843,,1954.29,1730.0,214.29,4.29,10.0,10.0,300000000.0,0.2857,214285714.2857143,85714285.71428572,0.7143,0.2857,20.9686
204,0,Light,1,1,20.7,22.99,,2290.0,2100.0,180.0,5.2,10.0,10.0,300000000.0,0.4,180000000.0,120000000.0,0.6,0.4,20.77
145,3,Heavy,1,0,14.47,23.11,,8640.0,-50.0,1600.0,196.4,7090.0,10.0,2000000000.0,0.2,1600000000.0,400000000.0,0.8,0.2,22.0702
175,2,Heavy,1,1,19.59,23.2367,,3646.67,700.0,666.67,1298.0,2280.0,5.0,2000000000.0,0.6667,666666666.6666667,1333333333.3333333,0.3333,0.6667,22.6071
191,4,Medium,0,-1,19.77,23.79,,4020.0,1800.0,1000.0,0.0,1220.0,,1000000000.0,0.0,1000000000.0,0.0,1.0,0.0,
197,5,Heavy,1,1,20.19,23.89,,3700.0,1010.0,1500.0,488.0,1190.0,5.0,2000000000.0,0.25,1500000000.0,500000000.0,0.75,0.25,21.63
231,4,Light,1,1,21.68,24.015,,2335.0,2100.0,225.0,4.0,10.0,10.0,300000000.0,0.25,225000000.0,75000000.0,0.75,0.25,21.9404
176,2,Heavy,1,1,19.59,24.0367,,4446.67,530.0,806.67,2128.4,3110.0,5.0,2000000000.0,0.6,800000000.0,1200000000.0,0.4,0.6,23.5967
205,0,Heavy,1,0,20.7,24.1329,,3432.86,1870.0,1142.86,418.57,420.0,10.0,2000000000.0,0.4286,1142857142.8571427,857142857.1428571,0.5714,0.4286,21.559
217,2,Light,1,0,21.49,24.2033,,2713.33,2530.0,173.33,5.56,10.0,10.0,300000000.0,0.4444,166666666.6666667,133333333.33333333,0.5556,0.4444,21.9368
243,0,Light,1,0,22.44,24.3043,,1864.29,1680.0,174.29,5.43,10.0,10.0,300000000.0,0.4286,171428571.42857143,128571428.57142857,0.5714,0.4286,23.0392
257,2,Light,1,0,23.37,24.3833,,1013.33,820.0,183.33,5.2,10.0,10.0,300000000.0,0.4,180000000.0,120000000.0,0.6,0.4,23.42
170,1,Heavy,1,1,19.57,24.4843,,5060.0,-510.0,1604.29,710.8,3820.0,5.0,2000000000.0,0.2,1600000000.0,400000000.0,0.8,0.2,24.63
183,3,Heavy,1,1,19.68,24.7767,,5096.67,1430.0,1666.67,164.0,2000.0,10.0,2000000000.0,0.1667,1666666666.6666667,333333333.3333333,0.8333,0.1667,21.8467
177,2,Medium,1,0,19.59,25.05,,5460.0,10.0,670.0,330.0,4780.0,5.0,1000000000.0,0.3333,666666666.6666667,333333333.3333333,0.6667,0.3333,24.5111
198,5,Heavy,1,1,20.19,25.2233,,5033.33,1810.0,1333.33,1183.33,1890.0,5.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,22.9404
237,5,Light,1,0,22.31,25.3948,,3084.76,2900.0,174.76,5.43,10.0,10.0,300000000.0,0.4286,171428571.42857143,128571428.57142857,0.5714,0.4286,22.9963
232,4,Heavy,1,0,21.68,25.415,,3735.0,2030.0,1405.0,293.6,300.0,10.0,2000000000.0,0.3,1400000000.0,600000000.0,0.7,0.3,22.3535
184,3,Medium,1,0,19.68,25.5267,,5846.67,3130.0,756.67,125.0,1960.0,10.0,1000000000.0,0.25,750000000.0,250000000.0,0.75,0.25,22.1535
163,0,Heavy,1,0,17.94,25.5543,,7614.29,150.0,1254.29,1331.0,6210.0,5.0,2000000000.0,0.375,1250000000.0,750000000.0,0.625,0.375,24.4
225,3,Light,1,1,21.67,25.7142,,4044.17,3840.0,194.17,5.0,10.0,10.0,300000000.0,0.375,187500000.0,112500000.0,0.625,0.375,21.9029
171,1,Heavy,1,0,19.57,25.9129,,6342.86,1530.0,1432.86,279.71,3380.0,10.0,2000000000.0,0.2857,1428571428.5714285,571428571.4285713,0.7143,0.2857,23.2297
251,1,Light,1,1,22.67,26.1004,,3430.36,3230.0,190.36,8.0,10.0,5.0,300000000.0,0.375,187500000.0,112500000.0,0.625,0.375,22.9967
178,2,Heavy,1,0,19.59,26.3,,6710.0,270.0,1250.0,731.0,5190.0,5.0,2000000000.0,0.375,1250000000.0,750000000.0,0.625,0.375,26.0406
238,5,Heavy,1,1,22.31,26.3948,,4084.76,2590.0,1004.76,488.0,490.0,10.0,2000000000.0,0.5,1000000000.0,1000000000.0,0.5,0.5,24.0967
277,5,Light,1,0,25.01,26.5823,,1572.26,1370.0,192.26,5.0,10.0,10.0,300000000.0,0.375,187500000.0,112500000.0,0.625,0.375,26.0781
192,4,Heavy,1,0,19.77,26.7483,,6978.33,1020.0,1338.33,592.67,4620.0,10.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,24.7333
164,0,Heavy,1,0,17.94,26.7543,,8814.29,1960.0,1204.29,779.6,5650.0,5.0,2000000000.0,0.4,1200000000.0,800000000.0,0.6,0.4,23.9038
226,3,Heavy,1,0,21.67,26.9142,,5244.17,3640.0,1204.17,390.8,400.0,10.0,2000000000.0,0.4,1200000000.0,800000000.0,0.6,0.4,22.9535
263,3,Light,1,0,23.56,27.0427,,3482.74,3330.0,132.74,11.14,20.0,5.0,300000000.0,0.5714,128571428.57142858,171428571.42857143,0.4286,0.5714,23.6371
199,5,Medium,1,0,20.19,27.2489,,7058.93,1180.0,668.93,166.0,5210.0,10.0,1000000000.0,0.3333,666666666.6666667,333333333.3333333,0.6667,0.3333,26.1892
206,0,Medium,1,1,20.7,27.3257,,6625.71,2180.0,575.71,423.71,3870.0,5.0,1000000000.0,0.4286,571428571.4285713,428571428.57142854,0.5714,0.4286,25.2729
211,1,Heavy,1,1,20.93,27.4337,,6503.69,2880.0,1333.69,326.0,2290.0,10.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,24.43
218,2,Heavy,1,0,21.49,27.6333,,6143.33,1760.0,1333.33,326.0,3050.0,10.0,2000000000.0,0.3333,1333333333.3333335,666666666.6666666,0.6667,0.3333,24.9556
193,4,Heavy,1,1,19.77,27.8912,,8121.19,2530.0,1151.19,418.57,4440.0,10.0,2000000000.0,0.4286,1142857142.8571427,857142857.1428571,0.5714,0.4286,25.0586
264,3,Heavy,1,0,23.56,27.9316,,4371.63,2390.0,891.63,1082.0,1090.0,5.0,2000000000.0,0.5556,888888888.8888888,1111111111.1111112,0.4444,0.5556,25.3259
269,4,Light,1,0,23.93,28.0412,,4111.19,3950.0,151.19,6.0,10.0,10.0,300000000.0,0.5,150000000.0,150000000.0,0.5,0.5,23.99
212,1,Medium,1,0,20.93,28.0701,,7140.05,4350.0,640.05,180.91,2150.0,10.0,1000000000.0,0.3636,636363636.3636364,363636363.6363636,0.6364,0.3636,23.3509
289,1,Light,1,1,25.55,28.2701,,2720.05,2510.0,200.05,4.67,10.0,10.0,300000000.0,0.3333,200000000.00000003,100000000.0,0.6667,0.3333,26.4068
